3.15,-6.458
4.15,-6.457
5.15,-6.456
6.15,-6.455
7.15,-6.453
8.15,-6.452
9.15,-6.45
10.15,-6.448
11.15,-6.446
12.15,-6.444
13.15,-6.441
14.15,-6.438
15.15,-6.435
16.15,-6.432
17.15,-6.429
18.15,-6.425
19.15,-6.421
20.15,-6.417
21.15,-6.413
22.15,-6.408
23.15,-6.404
24.15,-6.399
25.15,-6.393
26.15,-6.388
27.15,-6.382
28.15,-6.377
29.15,-6.37
30.15,-6.364
31.15,-6.358
32.15,-6.351
33.15,-6.344
34.15,-6.337
35.15,-6.329
36.15,-6.322
37.15,-6.314
38.15,-6.306
39.15,-6.297
40.15,-6.289
41.15,-6.28
42.15,-6.271
43.15,-6.262
44.15,-6.252
45.15,-6.243
46.15,-6.233
47.15,-6.223
48.15,-6.213
49.15,-6.202
50.15,-6.192
51.15,-6.181
52.15,-6.17
53.15,-6.158
54.15,-6.147
55.15,-6.135
56.15,-6.123
57.15,-6.111
58.15,-6.099
59.15,-6.087
60.15,-6.074
61.15,-6.061
62.15,-6.048
63.15,-6.035
64.15,-6.021
65.15,-6.007
66.15,-5.994
67.15,-5.98
68.15,-5.965
69.15,-5.951
70.15,-5.936
71.15,-5.922
72.15,-5.907
73.15,-5.891
74.15,-5.876
75.15,-5.861
76.15,-5.845
77.15,-5.829
78.15,-5.813
79.15,-5.797
80.15,-5.78
81.15,-5.763
82.15,-5.747
83.15,-5.73
84.15,-5.713
85.15,-5.695
86.15,-5.678
87.15,-5.66
88.15,-5.642
89.15,-5.624
90.15,-5.606
91.15,-5.588
92.15,-5.569
93.15,-5.55
94.15,-5.531
95.15,-5.512
96.15,-5.493
97.15,-5.474
98.15,-5.454
99.15,-5.435
100.15,-5.415
101.15,-5.395
102.15,-5.374
103.15,-5.354
104.15,-5.333
105.15,-5.313
106.15,-5.292
107.15,-5.271
108.15,-5.25
109.15,-5.228
110.15,-5.207
111.15,-5.185
112.15,-5.163
113.15,-5.141
114.15,-5.119
115.15,-5.097
116.15,-5.074
117.15,-5.052
118.15,-5.029
119.15,-5.006
120.15,-4.983
121.15,-4.96
122.15,-4.936
123.15,-4.913
124.15,-4.889
125.15,-4.865
126.15,-4.841
127.15,-4.817
128.15,-4.793
129.15,-4.768
130.15,-4.744
131.15,-4.719
132.15,-4.694
133.15,-4.669
134.15,-4.644
135.15,-4.618
136.15,-4.593
137.15,-4.567
138.15,-4.542
139.15,-4.516
140.15,-4.49
141.15,-4.463
142.15,-4.437
143.15,-4.411
144.15,-4.384
145.15,-4.357
146.15,-4.33
147.15,-4.303
148.15,-4.276
149.15,-4.249
150.15,-4.221
151.15,-4.194
152.15,-4.166
153.15,-4.138
154.15,-4.11
155.15,-4.082
156.15,-4.054
157.15,-4.025
158.15,-3.997
159.15,-3.968
160.15,-3.939
161.15,-3.911
162.15,-3.882
163.15,-3.852
164.15,-3.823
165.15,-3.794
166.15,-3.764
167.15,-3.734
168.15,-3.705
169.15,-3.675
170.15,-3.645
171.15,-3.614
172.15,-3.584
173.15,-3.554
174.15,-3.523
175.15,-3.492
176.15,-3.462
177.15,-3.431
178.15,-3.4
179.15,-3.368
180.15,-3.337
181.15,-3.306
182.15,-3.274
183.15,-3.243
184.15,-3.211
185.15,-3.179
186.15,-3.147
187.15,-3.115
188.15,-3.083
189.15,-3.05
190.15,-3.018
191.15,-2.986
192.15,-2.953
193.15,-2.92
194.15,-2.887
195.15,-2.854
196.15,-2.821
197.15,-2.788
198.15,-2.755
199.15,-2.721
200.15,-2.688
201.15,-2.654
202.15,-2.62
203.15,-2.587
204.15,-2.553
205.15,-2.519
206.15,-2.485
207.15,-2.45
208.15,-2.416
209.15,-2.382
210.15,-2.347
211.15,-2.312
212.15,-2.278
213.15,-2.243
214.15,-2.208
215.15,-2.173
216.15,-2.138
217.15,-2.103
218.15,-2.067
219.15,-2.032
220.15,-1.996
221.15,-1.961
222.15,-1.925
223.15,-1.889
224.15,-1.854
225.15,-1.818
226.15,-1.782
227.15,-1.745
228.15,-1.709
229.15,-1.673
230.15,-1.637
231.15,-1.6
232.15,-1.564
233.15,-1.527
234.15,-1.49
235.15,-1.453
236.15,-1.417
237.15,-1.38
238.15,-1.343
239.15,-1.305
240.15,-1.268
241.15,-1.231
242.15,-1.194
243.15,-1.156
244.15,-1.119
245.15,-1.081
246.15,-1.043
247.15,-1.006
248.15,-0.968
249.15,-0.93
250.15,-0.892
251.15,-0.854
252.15,-0.816
253.15,-0.778
254.15,-0.739
255.15,-0.701
256.15,-0.663
257.15,-0.624
258.15,-0.586
259.15,-0.547
260.15,-0.508
261.15,-0.47
262.15,-0.431
263.15,-0.392
264.15,-0.353
265.15,-0.314
266.15,-0.275
267.15,-0.236
268.15,-0.197
269.15,-0.157
270.15,-0.118
271.15,-0.079
272.15,-0.039
273.15,0
274.15,0.039
275.15,0.079
276.15,0.119
277.15,0.158
278.15,0.198
279.15,0.238
280.15,0.277
281.15,0.317
282.15,0.357
283.15,0.397
284.15,0.437
285.15,0.477
286.15,0.517
287.15,0.557
288.15,0.597
289.15,0.637
290.15,0.677
291.15,0.718
292.15,0.758
293.15,0.798
294.15,0.838
295.15,0.879
296.15,0.919
297.15,0.96
298.15,1
299.15,1.041
300.15,1.081
301.15,1.122
302.15,1.163
303.15,1.203
